tokens,labels
"['Can', 'you', 'show', 'me', 'laptops', 'from', 'a', 'specific', 'brand,', 'like', 'Apple?']",
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'budget-friendly', 'laptop.', 'What’s', 'the', 'cheapest', 'one', 'you', 'have?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'laptop', 'with', 'a', 'powerful', 'processor', 'for', 'heavy', 'tasks.', 'Any', 'suggestions?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'a', 'laptop', 'with', 'at', 'least', 'a', 'Core', 'i5', 'processor?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'compact', 'laptop', 'with', 'a', 'smaller', 'display.', 'What', 'are', 'my', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['What’s', 'the', 'most', 'affordable', 'laptop', 'with', 'a', '15.6-inch', 'display?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'trying', 'to', 'find', 'a', 'laptop', 'that', 'has', 'a', 'core', 'i9', 'processor', 'and', 'display', 'size', 'of', '15.6,', 'what', 'are', 'my', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-processor_tier', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'looking', 'specifically', 'for', 'a', 'Samsung', 'laptop.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-brand', 'O']"
"['I', 'want', 'a', 'laptop', 'that', 'has', 'at', 'least', '16GB', 'RAM', 'and', 'doesn’t', 'cost', 'more', 'than', '$500.', 'Any', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ram_memory', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['What’s', 'the', 'best', 'laptop', 'for', 'coding', 'with', 'lots', 'of', 'RAM', 'and', 'a', 'decent', 'processor?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-processor_tier', 'O']"
"['I’m', 'looking', 'for', 'a', 'laptop', 'with', 'a', 'Core', 'i5', 'processor', 'and', 'at', 'least', '16GB', 'of', 'RAM.', 'Can', 'you', 'help?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'a', 'laptop', 'with', 'the', 'highest', 'RAM', 'but', 'still', 'within', 'a', 'budget?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'a', 'laptop', 'with', 'a', 'small', 'display', 'size', 'but', 'that', 'is', 'not', 'an', 'Apple', 'brand?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-display_size', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-brand!', 'O']"
"['I’m', 'looking', 'for', 'an', 'ASUS', 'laptop', 'with', 'minimum', 'requirements', 'of', 'Core', 'i5', 'processor,', '8GB', 'of', 'RAM,', 'and', 'a', '15.6-inch', 'display', 'under', '$700.', 'What', 'are', 'my', 'options?']","['O', 'O', 'O', 'O', 'B-brand', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'very', 'picky', 'with', 'my', 'processors,', 'can', 'you', 'provide', 'me', 'with', 'a', 'laptop', 'with', 'the', 'most', 'recent', 'processor?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'find', 'me', 'a', 'Dell', 'laptop', 'that’s', 'cheap?']","['O', 'O', 'O', 'O', 'O', 'B-brand', 'O', 'O', 'O']"
"['What’s', 'the', 'best', 'laptop', 'for', 'gaming', 'with', 'a', 'powerful', 'processor', 'and', 'at', 'least', '16GB', 'of', 'RAM?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'find', 'a', 'laptop', 'with', 'a', '15.6-inch', 'screen', 'and', 'under', '$700,', 'but', 'with', 'a', 'high-end', 'processor?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'a', 'laptop', 'with', 'a', '15-inch', 'display', 'and', 'a', 'Core', 'i7', 'processor', 'for', 'video', 'editing?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-processor_tier', 'O', 'O', 'O', 'O']"
"['I’m', 'looking', 'for', 'a', 'laptop', 'with', 'at', 'least', '256GB', 'of', 'storage.', 'Any', 'suggestions?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Get', 'me', 'a', 'laptop', 'that', 'has', 'a', 'large', 'screen', 'and', 'is', 'Apple']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-brand']"
"['Dell', 'laptop,', 'newest', 'model,', 'durable']","['B-brand', 'O', 'O', 'O', 'O']"
"['Can', 'I', 'get', 'an', 'Asus', 'laptop', 'with', 'fast', 'speed', 'and', 'a', 'big', 'screen?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Do', 'you', 'have', 'a', 'good', 'laptop', 'that', 'I', 'can', 'use', 'for', 'school?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I’m', 'looking', 'for', 'a', 'work', 'laptop.', 'It', 'should', 'be', 'fast', 'and', 'I', 'should', 'be', 'able', 'to', 'run', 'Adobe', 'products']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'help', 'me', 'find', 'a', 'good', 'and', 'cheap', 'laptop', 'that', 'is', 'suitable', 'for', 'machine', 'learning?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-price', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fast', 'gaming', 'laptop,', 'no', 'price', 'limit']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Appl', 'laptop,', 'fast', 'processing,', '1000', 'budget']","['O', 'O', 'O', 'O', 'O', 'O']"
"['I’m', 'a', 'college', 'student', 'and', 'I’m', 'looking', 'for', 'an', 'affordable', 'laptop']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I’m', 'looking', 'for', 'a', 'touchscreen', 'Samsung', 'laptop.', 'It', 'needs', 'to', 'be', 'large', 'in', 'screen', 'size', 'but', 'I’m', 'okay', 'with', 'a', 'slower', 'processor”']","['O', 'O', 'O', 'O', 'O', 'B-brand', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'laptop', 'for', 'video', 'editing,', 'preferably', 'something', 'powerful', 'from', 'HP.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'want', 'a', 'lightweight', 'laptop', 'for', 'traveling.', 'Any', 'recommendations?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'I', 'get', 'a', 'Microsoft', 'laptop', 'with', 'decent', 'speed', 'and', 'a', 'touchscreen?']","['O', 'O', 'O', 'O', 'B-brand', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'help', 'me', 'find', 'a', 'cheap', 'HP', 'laptop', 'for', 'school?']","['O', 'O', 'O', 'O', 'O', 'O', 'B-price', 'B-brand', 'O', 'O', 'O']"
"['I’m', 'looking', 'for', 'a', 'powerful', 'laptop', 'with', 'a', 'medium', 'screen', 'size.', 'No', 'brand', 'preference.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Looking', 'for', 'a', 'budget-friendly', 'laptop', 'with', 'a', 'large', 'screen', 'for', 'watching', 'movies.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'me', 'a', 'good', 'laptop', 'that', 'is', 'known', 'for', 'its', 'durability', 'and', 'is', 'lightweight?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fast', 'laptop']","['O', 'O']"
"['I’m', 'an', 'ML', 'scientist', 'and', 'I', 'need', 'a', 'computer', 'with', 'very', 'fast', 'processing', 'speeds', 'and', 'sturdy', 'processors']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I’m', 'a', 'CS', 'student', 'and', 'I', 'need', 'a', 'laptop', 'that', 'can', 'run', 'Linux']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
